patent_id,title,year,inventor_name,company_name
10000041,Method for making a decorative multilaminar veneer,2018,Lorenza Farina,
10000054,"Sheet-processing machine having a sheet-guiding drum, and method for producing a gripper system",2018,Gunter Peter,
10000072,Printer and printing jig,2018,Takeomi Ohta,
10000079,Printing device including holder supporting platen roller through bearings,2018,Yuki Nagashima,
10000085,Device and method for transferring flowable printing substances onto a printing material,2018,Dietmar Neuhaus,
10000143,Debris catching system for a child seat,2018,Christopher Linnel,
10000167,Wire harness,2018,Yuji Kasuya,
10000190,"Cooling device, and steering bogie and vehicle provided with same",2018,So TAMURA,
10000203,EV mode shift strategy for hybrid vehicle,2018,Andrew E. Burt,
10000209,Vehicle steering control apparatus,2018,Takashi Kubo,
10000287,Drop down overhead galley stowage system,2018,Shawn A. Claflin,
10000293,Gas-electric propulsion system for an aircraft,2018,Jeffrey Anthony Hamel,
10000374,MEMS component,2018,Benedikt Stein,
10000380,Method for the manufacture of polymeric sulfur,2018,Michael Richard Laningham,
10000388,Production of PCC,2018,Mathieu Skrzypczak,
10000400,Laundry wash water recycle system,2018,Christopher M. Borchard,
10000404,Glass manufacturing method using electric melting,2018,Richard CLATOT,
10000437,Nitrogen containing surfactants with alkoxylation on the hydroxyl group of fatty chains,2018,Giao Nguyen,
10000447,Compounds for targeting drug delivery and enhancing siRNA activity,2018,Mohammad Ahmadian,
10000449,Bisarylsulfonamides useful in the treatment of inflammation and cancer,2018,Petra Groth,
10000450,"N,N-substituted 3-aminopyrrolidine compounds useful as monoamines reuptake inhibitors",2018,Haruhiko Sugino,
10000450,"N,N-substituted 3-aminopyrrolidine compounds useful as monoamines reuptake inhibitors",2018,Takayuki Matsuzaki,
10000467,Cyanine compounds,2018,Peter T. Czerney,
10000473,Indazole derivatives useful as glucagon receptor antagonists,2018,Shyh-Ming Yang,
10000482,Kinase inhibitors,2018,Michael Thormann,
10000493,"Process and intermediates for the synthesis of 8-[{1-(3,5-bis-(trifluoromethyl)phenyl)-ethoxy}-methyl]-8-phenyl-1,7-diaza-spiro[4.5]decan-2-one compounds",2018,Neng-Yang Shih,
10000497,Fused bicyclic heteroaromatic derivatives as kinase inhibitors,2018,James Thomas Reuberson,
10000513,Thienothiophene—boron (donor-acceptor) based materials for organic light emitting diodes,2018,Ahmet Ceyhan Goren,
10000514,Method for producing tetraalkoxysilane,2018,Hiroyuki Yasuda,
10000516,Phosphonate compounds for treatment of medical disorders,2018,Avinash Phadke,
10000518,Stabilisation of radiopharmaceutical precursors,2018,Anthony Wilson,
10000556,Single-domain VHH antibodies directed to norovirus GI.1 and GII.4 and their use,2018,Karin Bok,
10000567,Humanized antibodies to cluster of differentiation 3 (CD3),2018,Shahar Dotan,
10000568,Compositions and methods for detecting EGFR in cancer,2018,Jun-Ming Cai,
10000571,Anti-FGFR3 antibodies and methods using same,2018,Avi Ashkenazi,
10000573,Monoclonal antibody and a method thereof,2018,Josefa Lombardero Valladares,
10000574,Compositions comprising polypeptides,2018,Frank Hanakam,
10000579,Integrated process to recover a spectrum of bioproducts from fresh seaweeds,2018,Nitin Trivedi,
