name,patent_count
"SAMSUNG DISPLAY CO., LTD.",3381
International Business Machines Corporation,3054
CANON KABUSHIKI KAISHA,1732
Unknown Company,1701
SONY GROUP CORPORATION,1262
Fujitsu Limited,1020
Kabushiki Kaisha Toshiba,988
Intel Corporation,954
General Electric Company,941
"HITACHI, LTD.",936
LG ELECTRONICS INC.,915
MITSUBISHI ELECTRIC CORPORATION,895
QUALCOMM Incorporated,829
NEC CORPORATION,801
"SUMITOMO ELECTRIC INDUSTRIES, LTD.",780
TOYOTA JIDOSHA KABUSHIKI KAISHA,777
"Taiwan Semiconductor Manufacturing Company, Ltd.",766
Apple Inc.,711
"Micron Technology, Inc.",687
SEIKO EPSON CORPORATION,628
